Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000000_000019,0.3555,0.8833,0,0.9082,0,0,0.3469,0,0.7916,0.8749,0.6026,0.8225,0.3586,0.3042,0.7149,0,0,0,0,0.1465
aachen_000001_000019,0.315,0.8996,0.1446,0.8419,0.0112,0.2825,0.476,0,0.2697,0.8427,0.7311,0.9098,0,0,0.5764,0,0,0,0,0
aachen_000002_000019,0.3596,0.8875,0.8635,0.878,0,0.2983,0.2096,0,0.5459,0.9432,0.5441,0.4636,0.2911,0,0.9076,0,0,0,0,0
aachen_000003_000019,0.2936,0.8554,0.866,0.9434,0.0238,0,0.1101,0.3111,0.6676,0,0,0.3914,0.4629,0,0.9471,0,0,0,0,0
aachen_000004_000019,0.404,0.8927,0.4451,0.894,0,0.4377,0.2591,0.651,0.2611,0.822,0,0.9421,0.6069,0,0.859,0,0,0,0,0.6061
aachen_000005_000019,0.3582,0.8726,0.7287,0.6692,0.6379,0,0.1511,0.0341,0.5862,0.8715,0,0.9075,0.5397,0,0.8067,0,0,0,0,0
aachen_000006_000019,0.3604,0.8931,0.9055,0.147,0,0.3923,0.4284,0,0.1925,0.9153,0.6709,0.8834,0.6175,0,0.802,0,0,0,0,0
aachen_000007_000019,0.3323,0.8924,0.6854,0.8711,0,0,0.6074,0,0.7225,0.9235,0,0.7829,0,0,0.8288,0,0,0,0,0
aachen_000008_000019,0.3495,0.8889,0.1663,0.4936,0,0,0.2539,0.3201,0.608,0.8809,0.447,0.8857,0.5965,0.1458,0.2314,0,0,0,0.7234,0
aachen_000009_000019,0.352,0.8963,0.5455,0.9298,0.017,0,0.3876,0.4837,0,0.7003,0,0.7892,0.7802,0,0.8355,0,0,0,0.3225,0
aachen_000010_000019,0.3842,0.8619,0.4516,0.687,0,0,0.5189,0.4298,0.2475,0.9059,0.0412,0.5328,0.2925,0.7063,0.9526,0,0,0,0,0.6726
aachen_000011_000019,0.309,0.8377,0.3501,0.8258,0,0,0.1358,0.3128,0.3766,0.8728,0.0206,0.8761,0.2072,0,0.8556,0,0,0,0,0.2001
aachen_000012_000019,0.3873,0.8859,0.7583,0.773,0,0,0.3598,0.3142,0,0.878,0,0.9005,0.6464,0,0.9148,0,0.9271,0,0,0
aachen_000013_000019,0.2613,0.7139,0,0.8963,0,0,0.1129,0.033,0.023,0.8987,0,0.8444,0.3427,0.1542,0.9328,0,0,0,0,0.0127
aachen_000014_000019,0.4621,0.8635,0.719,0.8043,0.4675,0,0.317,0.7432,0.276,0.5731,0.1657,0.8738,0.7432,0.0014,0.724,0,0.7219,0,0.1778,0.6085
aachen_000015_000019,0.3904,0.8949,0.8948,0.7997,0,0,0.2775,0.702,0.2805,0.8833,0,0.8763,0.5871,0,0.66,0,0,0,0,0.5616
aachen_000016_000019,0.4067,0.8726,0.8843,0.7522,0,0,0.4429,0.4787,0.5148,0.8313,0,0.8796,0.6421,0,0.6873,0,0,0,0,0.741
aachen_000017_000019,0.2973,0,0.3983,0.7733,0,0,0.6161,0,0.4402,0.7136,0.1924,0.8224,0.8162,0,0.8763,0,0,0,0,0
aachen_000018_000019,0.3789,0.7654,0.8401,0.8961,0,0,0.5584,0,0.3343,0.6054,0,0.9087,0.786,0.6115,0.678,0,0,0,0,0.2152
aachen_000019_000019,0.311,0.5496,0.0001,0.7247,0.0738,0,0.3294,0,0.7228,0.7567,0,0.815,0.7515,0,0.8565,0,0,0,0,0.3285
aachen_000020_000019,0.254,0,0.7666,0.8712,0,0,0.5438,0,0.7235,0.6454,0,0,0.8634,0,0.4113,0,0,0,0,0
aachen_000021_000019,0.3525,0.7787,0.8411,0.8844,0,0,0.3428,0,0.4561,0.5989,0,0.8461,0.6878,0,0.8599,0,0,0,0,0.4018
aachen_000022_000019,0.1818,0,0.0001,0.9237,0,0,0.1866,0,0.6245,0,0,0,0.8258,0,0.8934,0,0,0,0,0
aachen_000023_000019,0.3577,0.7665,0.7316,0.9483,0,0,0.4322,0,0.667,0.662,0,0.9308,0.832,0,0.8255,0,0,0,0,0
aachen_000024_000019,0.1839,0,0.0009,0.9336,0,0,0.2193,0,0.6449,0,0,0,0.7544,0,0.9408,0,0,0,0,0
aachen_000025_000019,0.3548,0.8743,0.8605,0.9392,0,0,0.4402,0.1611,0.7042,0.8821,0,0.7873,0.305,0,0.7872,0,0,0,0,0
aachen_000026_000019,0.3431,0.8898,0.1746,0.8508,0,0.0401,0.2659,0.1156,0.6397,0.8269,0,0.443,0.2791,0,0.8469,0,0.8802,0,0,0.2663
aachen_000027_000019,0.341,0.859,0.1353,0.8622,0,0,0.1493,0,0,0.8986,0.0509,0.9051,0.1227,0,0.9006,0,0.9171,0,0,0.6776
aachen_000028_000019,0.3242,0.8483,0.4237,0.8313,0,0,0.2583,0.0165,0.7417,0.9002,0.1465,0,0,0,0.927,0,0.9279,0,0,0.1374
aachen_000029_000019,0.4502,0.8242,0.691,0.8198,0,0,0.1989,0.6203,0.6847,0.9278,0.6473,0.8474,0.7364,0.035,0.9121,0,0,0,0,0.6099
aachen_000030_000019,0.3325,0.885,0.8394,0.7876,0,0,0.055,0,0.6562,0.8632,0.5311,0.7571,0,0,0.9424,0,0,0,0,0
