File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU,MIoU Prediction 3,MIoU Prediction 4,Delta MIoU2
munster_000145_000019_gtFine_labelTrainIds.png,54.84,68.8,13.96,54.27,94.32,40.05
munster_000041_000019_gtFine_labelTrainIds.png,56.09,77.58,21.49,55.02,94.93,39.91
lindau_000033_000019_gtFine_labelTrainIds.png,54.25,79.74,25.49,55.8,93.9,38.1
munster_000144_000019_gtFine_labelTrainIds.png,60.11,85.52,25.4,58.75,95.88,37.14
lindau_000039_000019_gtFine_labelTrainIds.png,53.69,88.36,34.67,56.93,93.92,36.99
munster_000147_000019_gtFine_labelTrainIds.png,61.97,91.55,29.58,61.01,96.53,35.52
munster_000153_000019_gtFine_labelTrainIds.png,60.76,87.38,26.62,61.06,93.6,32.54
munster_000146_000019_gtFine_labelTrainIds.png,55.89,61.8,5.91,55.57,88.03,32.46
munster_000141_000019_gtFine_labelTrainIds.png,66.74,82.54,15.8,64.05,95.83,31.78
lindau_000031_000019_gtFine_labelTrainIds.png,63.01,70.01,7,63.52,94.2,30.68
munster_000143_000019_gtFine_labelTrainIds.png,65.05,90.16,25.11,64.27,94.51,30.25
munster_000042_000019_gtFine_labelTrainIds.png,66.07,90.38,24.31,63.69,93.71,30.02
lindau_000024_000019_gtFine_labelTrainIds.png,59.51,77.96,18.45,60.86,90.26,29.39
munster_000142_000019_gtFine_labelTrainIds.png,69.02,93.39,24.37,67.79,97.17,29.38
munster_000149_000019_gtFine_labelTrainIds.png,70.98,94.29,23.31,68.43,96.23,27.8
lindau_000036_000019_gtFine_labelTrainIds.png,57.29,89.07,31.78,67.3,94.67,27.38
munster_000151_000019_gtFine_labelTrainIds.png,80.62,92.53,11.91,67.44,94.82,27.38
munster_000082_000019_gtFine_labelTrainIds.png,71.57,88.59,17.03,70.16,97.43,27.27
munster_000140_000019_gtFine_labelTrainIds.png,71.04,93.53,22.48,69.57,96.72,27.16
lindau_000030_000019_gtFine_labelTrainIds.png,68.29,88.54,20.25,68.83,94.55,25.72
lindau_000043_000019_gtFine_labelTrainIds.png,66.1,92.79,26.68,69.08,94.72,25.64
frankfurt_000001_012038_gtFine_labelTrainIds.png,63.8,63.99,0.18,63.09,88.53,25.44
munster_000139_000019_gtFine_labelTrainIds.png,68.7,84.51,15.81,67.37,92.39,25.02
lindau_000038_000019_gtFine_labelTrainIds.png,61.08,91.97,30.89,68.15,92.86,24.71
munster_000152_000019_gtFine_labelTrainIds.png,70.51,91.9,21.4,70.32,94.4,24.08
munster_000150_000019_gtFine_labelTrainIds.png,85.11,93.63,8.51,73.69,97.13,23.43
lindau_000023_000019_gtFine_labelTrainIds.png,71.52,89.09,17.58,68.97,91.57,22.6
lindau_000037_000019_gtFine_labelTrainIds.png,68.5,91.78,23.28,72.88,94.6,21.72
frankfurt_000001_011715_gtFine_labelTrainIds.png,91.36,83.2,-8.16,71.48,92.81,21.33
frankfurt_000001_010600_gtFine_labelTrainIds.png,79.25,87.89,8.64,68.84,89.97,21.14
frankfurt_000001_011162_gtFine_labelTrainIds.png,93.5,89.59,-3.9,73.55,93.42,19.87
lindau_000032_000019_gtFine_labelTrainIds.png,63.09,89.67,26.58,65.67,85.31,19.64
lindau_000041_000019_gtFine_labelTrainIds.png,59.51,90.47,30.95,75.73,94.89,19.16
lindau_000025_000019_gtFine_labelTrainIds.png,72.96,88.5,15.54,72.59,90.92,18.33
frankfurt_000001_010830_gtFine_labelTrainIds.png,68.01,66.4,-1.61,68.23,86.42,18.19
lindau_000026_000019_gtFine_labelTrainIds.png,65.25,84.96,19.7,75.47,89.65,14.18
lindau_000042_000019_gtFine_labelTrainIds.png,67.89,79.67,11.78,67.48,81.47,13.99
frankfurt_000001_011835_gtFine_labelTrainIds.png,88.03,89.21,1.19,73.42,86.28,12.86
lindau_000028_000019_gtFine_labelTrainIds.png,63.46,74.88,11.42,82.32,94.83,12.51
munster_000122_000019_gtFine_labelTrainIds.png,79.72,78.7,-1.01,80.85,92.58,11.74
frankfurt_000001_070099_gtFine_labelTrainIds.png,78.95,77.96,-0.98,79.54,89.94,10.41
munster_000173_000019_gtFine_labelTrainIds.png,81.88,88.33,6.46,82.72,92.83,10.11
lindau_000021_000019_gtFine_labelTrainIds.png,78.43,84.69,6.26,81.24,90.14,8.9
lindau_000020_000019_gtFine_labelTrainIds.png,76.29,81.32,5.03,82.29,90.97,8.68
munster_000066_000019_gtFine_labelTrainIds.png,84.59,75.89,-8.7,86.58,93.43,6.86
frankfurt_000001_067092_gtFine_labelTrainIds.png,83.79,82.76,-1.04,82.13,88.97,6.84
lindau_000004_000019_gtFine_labelTrainIds.png,93.35,93.48,0.13,89.39,95.85,6.46
lindau_000007_000019_gtFine_labelTrainIds.png,93.54,92.99,-0.55,89.54,95.33,5.8
lindau_000058_000019_gtFine_labelTrainIds.png,95.86,96.49,0.63,92.31,97.81,5.5
lindau_000022_000019_gtFine_labelTrainIds.png,86.55,93.73,7.18,89.57,94.91,5.34
lindau_000016_000019_gtFine_labelTrainIds.png,95.13,92.69,-2.45,91.3,96.16,4.86
munster_000128_000019_gtFine_labelTrainIds.png,91.75,89.54,-2.2,89.8,94.54,4.74
munster_000117_000019_gtFine_labelTrainIds.png,92.42,89.41,-3.02,92.31,96.83,4.52
lindau_000003_000019_gtFine_labelTrainIds.png,93.97,93.34,-0.63,88.73,93.13,4.4
munster_000121_000019_gtFine_labelTrainIds.png,89.98,88.81,-1.17,92.44,96.8,4.37
lindau_000006_000019_gtFine_labelTrainIds.png,94.06,91.99,-2.07,88.72,92.97,4.26
munster_000077_000019_gtFine_labelTrainIds.png,81.67,70.73,-10.94,85.54,89.78,4.24
munster_000171_000019_gtFine_labelTrainIds.png,94.97,93.87,-1.09,86.28,90.45,4.17
munster_000090_000019_gtFine_labelTrainIds.png,91.51,90.59,-0.92,91.88,95.98,4.1
munster_000130_000019_gtFine_labelTrainIds.png,95.08,75.36,-19.71,85.45,89.4,3.94
munster_000068_000019_gtFine_labelTrainIds.png,78.48,65.28,-13.2,90.55,94.38,3.82
lindau_000005_000019_gtFine_labelTrainIds.png,95.68,93,-2.69,85.3,88.87,3.57
lindau_000027_000019_gtFine_labelTrainIds.png,87,87.13,0.13,92.14,95.68,3.54
munster_000132_000019_gtFine_labelTrainIds.png,94.05,93.6,-0.45,93.57,96.83,3.25
munster_000129_000019_gtFine_labelTrainIds.png,92.34,90.64,-1.7,91.16,94.28,3.12
munster_000118_000019_gtFine_labelTrainIds.png,94.22,92.36,-1.86,93.16,95.92,2.77
munster_000100_000019_gtFine_labelTrainIds.png,88.27,81.34,-6.94,91.35,94.06,2.71
munster_000107_000019_gtFine_labelTrainIds.png,95.66,92.99,-2.66,94.23,96.91,2.68
munster_000093_000019_gtFine_labelTrainIds.png,94.47,92.12,-2.35,92.81,95.34,2.53
munster_000001_000019_gtFine_labelTrainIds.png,87.72,90.89,3.17,93.3,95.71,2.41
munster_000049_000019_gtFine_labelTrainIds.png,89.2,87.56,-1.64,92.65,95.05,2.39
