File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000000_000294_gtFine_labelTrainIds.png,96.76,91.18,-5.58
frankfurt_000000_000576_gtFine_labelTrainIds.png,96.48,92.02,-4.46
frankfurt_000000_001016_gtFine_labelTrainIds.png,94.95,92.59,-2.36
frankfurt_000000_001236_gtFine_labelTrainIds.png,93.25,93.39,0.14
frankfurt_000000_001751_gtFine_labelTrainIds.png,95.16,93.32,-1.84
frankfurt_000000_002196_gtFine_labelTrainIds.png,93.41,87.38,-6.03
frankfurt_000000_002963_gtFine_labelTrainIds.png,90.88,89.4,-1.48
frankfurt_000000_003025_gtFine_labelTrainIds.png,95.48,94.38,-1.1
frankfurt_000000_003357_gtFine_labelTrainIds.png,94.08,94.47,0.39
frankfurt_000000_003920_gtFine_labelTrainIds.png,91.53,86.92,-4.61
frankfurt_000000_004617_gtFine_labelTrainIds.png,91.56,92.17,0.61
frankfurt_000000_005543_gtFine_labelTrainIds.png,94.01,94.56,0.55
frankfurt_000000_005898_gtFine_labelTrainIds.png,95.24,94.64,-0.6
frankfurt_000000_006589_gtFine_labelTrainIds.png,93.28,92.69,-0.59
frankfurt_000000_007365_gtFine_labelTrainIds.png,95.03,92.79,-2.25
frankfurt_000000_008206_gtFine_labelTrainIds.png,93.66,91.38,-2.28
frankfurt_000000_008451_gtFine_labelTrainIds.png,93.57,93.1,-0.47
frankfurt_000000_009291_gtFine_labelTrainIds.png,95.97,93.02,-2.95
frankfurt_000000_009561_gtFine_labelTrainIds.png,91.45,90.97,-0.48
frankfurt_000000_009688_gtFine_labelTrainIds.png,95.46,88.67,-6.79
frankfurt_000000_009969_gtFine_labelTrainIds.png,94.35,91.25,-3.1
frankfurt_000000_010351_gtFine_labelTrainIds.png,93.89,90.23,-3.66
frankfurt_000000_010763_gtFine_labelTrainIds.png,96.96,96.48,-0.48
frankfurt_000000_011007_gtFine_labelTrainIds.png,91.92,87.39,-4.52
frankfurt_000000_011074_gtFine_labelTrainIds.png,97.07,90.78,-6.29
frankfurt_000000_011461_gtFine_labelTrainIds.png,97.18,91.43,-5.75
frankfurt_000000_011810_gtFine_labelTrainIds.png,95.22,91.83,-3.39
frankfurt_000000_012009_gtFine_labelTrainIds.png,94.67,90.71,-3.96
frankfurt_000000_012121_gtFine_labelTrainIds.png,93.04,88.99,-4.05
frankfurt_000000_012868_gtFine_labelTrainIds.png,96.42,93.1,-3.31
frankfurt_000000_013067_gtFine_labelTrainIds.png,95.94,93.38,-2.56
frankfurt_000000_013240_gtFine_labelTrainIds.png,94.22,87.63,-6.59
frankfurt_000000_013382_gtFine_labelTrainIds.png,95.59,91.07,-4.52
frankfurt_000000_013942_gtFine_labelTrainIds.png,92.99,89.21,-3.78
frankfurt_000000_014480_gtFine_labelTrainIds.png,94.3,93.24,-1.05
frankfurt_000000_015389_gtFine_labelTrainIds.png,93.45,89.31,-4.14
frankfurt_000000_015676_gtFine_labelTrainIds.png,92.6,86.53,-6.07
frankfurt_000000_016005_gtFine_labelTrainIds.png,83.51,88.11,4.61
frankfurt_000000_016286_gtFine_labelTrainIds.png,89.64,95.31,5.67
frankfurt_000000_017228_gtFine_labelTrainIds.png,94.45,94.12,-0.34
frankfurt_000000_017476_gtFine_labelTrainIds.png,96.19,95.73,-0.46
frankfurt_000000_018797_gtFine_labelTrainIds.png,89.58,85.23,-4.36
frankfurt_000000_019607_gtFine_labelTrainIds.png,94.37,89.15,-5.22
frankfurt_000000_020215_gtFine_labelTrainIds.png,93.77,92.42,-1.35
frankfurt_000000_020321_gtFine_labelTrainIds.png,91.58,87.04,-4.54
frankfurt_000000_020880_gtFine_labelTrainIds.png,92.77,90.04,-2.74
frankfurt_000000_021667_gtFine_labelTrainIds.png,93.15,94.08,0.92
frankfurt_000000_021879_gtFine_labelTrainIds.png,94.45,92.2,-2.24
frankfurt_000000_022254_gtFine_labelTrainIds.png,96.61,93.95,-2.65
frankfurt_000000_022797_gtFine_labelTrainIds.png,91.73,87.58,-4.16
frankfurt_000001_000538_gtFine_labelTrainIds.png,95.09,89.55,-5.54
frankfurt_000001_001464_gtFine_labelTrainIds.png,90.74,91.01,0.27
frankfurt_000001_002512_gtFine_labelTrainIds.png,92.69,90.98,-1.7
frankfurt_000001_002646_gtFine_labelTrainIds.png,94.77,92.91,-1.87
frankfurt_000001_002759_gtFine_labelTrainIds.png,81.45,75.87,-5.58
frankfurt_000001_003056_gtFine_labelTrainIds.png,96.58,94.76,-1.82
frankfurt_000001_003588_gtFine_labelTrainIds.png,95.75,93.9,-1.85
frankfurt_000001_004327_gtFine_labelTrainIds.png,93.61,90.72,-2.89
frankfurt_000001_004736_gtFine_labelTrainIds.png,96.03,93.28,-2.75
frankfurt_000001_004859_gtFine_labelTrainIds.png,96.58,94.18,-2.41
frankfurt_000001_005184_gtFine_labelTrainIds.png,95.01,91.18,-3.83
frankfurt_000001_005410_gtFine_labelTrainIds.png,95.23,90.42,-4.81
frankfurt_000001_005703_gtFine_labelTrainIds.png,95.01,90.51,-4.5
frankfurt_000001_005898_gtFine_labelTrainIds.png,95.62,94.61,-1.02
frankfurt_000001_007285_gtFine_labelTrainIds.png,95.47,92.04,-3.43
frankfurt_000001_007407_gtFine_labelTrainIds.png,88.53,86.66,-1.87
frankfurt_000001_007622_gtFine_labelTrainIds.png,92.44,91.57,-0.87
frankfurt_000001_007857_gtFine_labelTrainIds.png,95.18,90.95,-4.23
frankfurt_000001_007973_gtFine_labelTrainIds.png,93.68,90.15,-3.53
frankfurt_000001_008200_gtFine_labelTrainIds.png,94.61,90.9,-3.71
frankfurt_000001_008688_gtFine_labelTrainIds.png,94.18,92.3,-1.87
frankfurt_000001_009058_gtFine_labelTrainIds.png,95.54,89.61,-5.93
frankfurt_000001_009504_gtFine_labelTrainIds.png,92.19,87.13,-5.06
frankfurt_000001_009854_gtFine_labelTrainIds.png,96.35,93.61,-2.74
frankfurt_000001_010156_gtFine_labelTrainIds.png,92.78,88.62,-4.16
frankfurt_000001_010444_gtFine_labelTrainIds.png,96.3,93.86,-2.44
frankfurt_000001_010600_gtFine_labelTrainIds.png,79.25,87.89,8.64
frankfurt_000001_010830_gtFine_labelTrainIds.png,68.01,66.4,-1.61
frankfurt_000001_011162_gtFine_labelTrainIds.png,93.5,89.59,-3.9
frankfurt_000001_011715_gtFine_labelTrainIds.png,91.36,83.2,-8.16
frankfurt_000001_011835_gtFine_labelTrainIds.png,88.03,89.21,1.19
frankfurt_000001_012038_gtFine_labelTrainIds.png,63.8,63.99,0.18
frankfurt_000001_012519_gtFine_labelTrainIds.png,94.81,88.36,-6.45
frankfurt_000001_012699_gtFine_labelTrainIds.png,94.76,90.71,-4.05
frankfurt_000001_012738_gtFine_labelTrainIds.png,96.3,87.23,-9.07
frankfurt_000001_012870_gtFine_labelTrainIds.png,88.88,84.03,-4.85
frankfurt_000001_013016_gtFine_labelTrainIds.png,89.45,85.93,-3.52
frankfurt_000001_013496_gtFine_labelTrainIds.png,96.65,93.14,-3.51
frankfurt_000001_013710_gtFine_labelTrainIds.png,90.77,88.82,-1.95
frankfurt_000001_014221_gtFine_labelTrainIds.png,90.19,87.22,-2.97
frankfurt_000001_014406_gtFine_labelTrainIds.png,95.55,92.66,-2.89
frankfurt_000001_014565_gtFine_labelTrainIds.png,93.45,88.11,-5.34
frankfurt_000001_014741_gtFine_labelTrainIds.png,92.15,88.52,-3.63
frankfurt_000001_015091_gtFine_labelTrainIds.png,93.82,88.39,-5.43
frankfurt_000001_015328_gtFine_labelTrainIds.png,95.27,88.63,-6.64
frankfurt_000001_015768_gtFine_labelTrainIds.png,97.33,75.29,-22.04
frankfurt_000001_016029_gtFine_labelTrainIds.png,92.96,88.76,-4.2
frankfurt_000001_016273_gtFine_labelTrainIds.png,94.83,89.5,-5.33
