File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
frankfurt_000000_000294_gtFine_labelTrainIds.png,94.97,93.13,-1.84
frankfurt_000000_000576_gtFine_labelTrainIds.png,94.62,93.07,-1.56
frankfurt_000000_001016_gtFine_labelTrainIds.png,93.51,91.59,-1.92
frankfurt_000000_001236_gtFine_labelTrainIds.png,93.85,90.75,-3.09
frankfurt_000000_001751_gtFine_labelTrainIds.png,92.95,93.38,0.43
frankfurt_000000_002196_gtFine_labelTrainIds.png,92.59,94.84,2.25
frankfurt_000000_002963_gtFine_labelTrainIds.png,88.16,88.13,-0.04
frankfurt_000000_003025_gtFine_labelTrainIds.png,96.3,94.59,-1.72
frankfurt_000000_003357_gtFine_labelTrainIds.png,94.1,91.23,-2.86
frankfurt_000000_003920_gtFine_labelTrainIds.png,93.16,88.14,-5.02
frankfurt_000000_004617_gtFine_labelTrainIds.png,95.35,91.54,-3.81
frankfurt_000000_005543_gtFine_labelTrainIds.png,93.02,91.64,-1.38
frankfurt_000000_005898_gtFine_labelTrainIds.png,94.0,91.69,-2.31
frankfurt_000000_006589_gtFine_labelTrainIds.png,92.41,90.2,-2.21
frankfurt_000000_007365_gtFine_labelTrainIds.png,93.45,92.74,-0.71
frankfurt_000000_008206_gtFine_labelTrainIds.png,95.16,90.89,-4.27
frankfurt_000000_008451_gtFine_labelTrainIds.png,93.45,89.38,-4.08
frankfurt_000000_009291_gtFine_labelTrainIds.png,96.05,94.42,-1.63
frankfurt_000000_009561_gtFine_labelTrainIds.png,92.59,92.63,0.04
frankfurt_000000_009688_gtFine_labelTrainIds.png,93.45,84.18,-9.28
frankfurt_000000_009969_gtFine_labelTrainIds.png,94.9,86.22,-8.68
frankfurt_000000_010351_gtFine_labelTrainIds.png,93.98,90.21,-3.77
frankfurt_000000_010763_gtFine_labelTrainIds.png,93.03,86.68,-6.35
frankfurt_000000_011007_gtFine_labelTrainIds.png,94.5,88.41,-6.09
frankfurt_000000_011074_gtFine_labelTrainIds.png,90.2,88.08,-2.12
frankfurt_000000_011461_gtFine_labelTrainIds.png,95.64,92.98,-2.67
frankfurt_000000_011810_gtFine_labelTrainIds.png,94.3,93.19,-1.12
frankfurt_000000_012009_gtFine_labelTrainIds.png,95.03,93.41,-1.63
frankfurt_000000_012121_gtFine_labelTrainIds.png,92.94,90.1,-2.84
