File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
strasbourg_000001_043748_gtFine_labelTrainIds.png,22.96,32.75,9.79
bochum_000000_002293_gtFine_labelTrainIds.png,34.16,41.5,7.34
zurich_000116_000019_gtFine_labelTrainIds.png,43.63,50.7,7.07
zurich_000050_000019_gtFine_labelTrainIds.png,36.76,43.4,6.64
strasbourg_000001_013914_gtFine_labelTrainIds.png,27.74,34.35,6.61
darmstadt_000041_000019_gtFine_labelTrainIds.png,30.31,36.71,6.41
hamburg_000000_018878_gtFine_labelTrainIds.png,23.58,29.93,6.36
weimar_000104_000019_gtFine_labelTrainIds.png,36.84,43.19,6.34
strasbourg_000000_010816_gtFine_labelTrainIds.png,34.25,40.31,6.07
hamburg_000000_103075_gtFine_labelTrainIds.png,25.08,31.12,6.04
strasbourg_000000_023854_gtFine_labelTrainIds.png,26.63,32.62,5.99
stuttgart_000016_000019_gtFine_labelTrainIds.png,37.63,43.58,5.95
ulm_000055_000019_gtFine_labelTrainIds.png,37.81,43.71,5.9
strasbourg_000001_061472_gtFine_labelTrainIds.png,17.93,23.82,5.89
ulm_000036_000019_gtFine_labelTrainIds.png,11.4,17.18,5.78
zurich_000080_000019_gtFine_labelTrainIds.png,29.88,35.59,5.71
strasbourg_000001_051134_gtFine_labelTrainIds.png,31.97,37.56,5.59
tubingen_000060_000019_gtFine_labelTrainIds.png,28.72,34.22,5.51
strasbourg_000001_054639_gtFine_labelTrainIds.png,33.83,39.31,5.48
jena_000077_000019_gtFine_labelTrainIds.png,30.5,35.94,5.44
darmstadt_000048_000019_gtFine_labelTrainIds.png,30.92,36.3,5.38
monchengladbach_000000_018575_gtFine_labelTrainIds.png,25.9,31.27,5.37
krefeld_000000_005503_gtFine_labelTrainIds.png,32.39,37.73,5.34
zurich_000119_000019_gtFine_labelTrainIds.png,46.9,52.24,5.34
bremen_000035_000019_gtFine_labelTrainIds.png,28.05,33.33,5.28
aachen_000139_000019_gtFine_labelTrainIds.png,36.83,42.08,5.25
darmstadt_000083_000019_gtFine_labelTrainIds.png,23.51,28.76,5.25
zurich_000044_000019_gtFine_labelTrainIds.png,48.08,53.32,5.24
bremen_000140_000019_gtFine_labelTrainIds.png,40.55,45.76,5.21
bochum_000000_030913_gtFine_labelTrainIds.png,25.18,30.37,5.2
aachen_000130_000019_gtFine_labelTrainIds.png,21.23,26.42,5.18
strasbourg_000001_058373_gtFine_labelTrainIds.png,36.43,41.61,5.18
jena_000091_000019_gtFine_labelTrainIds.png,35.18,40.34,5.16
zurich_000061_000019_gtFine_labelTrainIds.png,34.52,39.64,5.12
bremen_000135_000019_gtFine_labelTrainIds.png,30.99,36.08,5.08
bremen_000119_000019_gtFine_labelTrainIds.png,33.89,38.96,5.07
strasbourg_000001_028379_gtFine_labelTrainIds.png,35.15,40.21,5.06
bochum_000000_037223_gtFine_labelTrainIds.png,32.03,37.06,5.02
monchengladbach_000000_018445_gtFine_labelTrainIds.png,24.82,29.84,5.02
jena_000030_000019_gtFine_labelTrainIds.png,40.37,45.37,5
strasbourg_000000_025491_gtFine_labelTrainIds.png,25.53,30.53,5
weimar_000066_000019_gtFine_labelTrainIds.png,25.06,30.07,5
bochum_000000_033531_gtFine_labelTrainIds.png,29.23,34.18,4.95
erfurt_000033_000019_gtFine_labelTrainIds.png,27.04,31.97,4.93
hanover_000000_001620_gtFine_labelTrainIds.png,36.93,41.86,4.93
bremen_000310_000019_gtFine_labelTrainIds.png,40.91,45.83,4.92
tubingen_000054_000019_gtFine_labelTrainIds.png,30.15,35.05,4.9
hamburg_000000_074267_gtFine_labelTrainIds.png,30.99,35.85,4.86
tubingen_000001_000019_gtFine_labelTrainIds.png,37.89,42.74,4.85
bremen_000292_000019_gtFine_labelTrainIds.png,39.07,43.91,4.84
erfurt_000040_000019_gtFine_labelTrainIds.png,28.64,33.48,4.84
jena_000104_000019_gtFine_labelTrainIds.png,38.78,43.56,4.78
zurich_000089_000019_gtFine_labelTrainIds.png,34.03,38.79,4.76
weimar_000075_000019_gtFine_labelTrainIds.png,38.59,43.3,4.72
weimar_000076_000019_gtFine_labelTrainIds.png,27.32,32.04,4.72
hamburg_000000_067587_gtFine_labelTrainIds.png,32.44,37.13,4.69
bremen_000261_000019_gtFine_labelTrainIds.png,40.98,45.63,4.65
hamburg_000000_020563_gtFine_labelTrainIds.png,34.62,39.27,4.65
hamburg_000000_071150_gtFine_labelTrainIds.png,39.81,44.45,4.64
aachen_000000_000019_gtFine_labelTrainIds.png,30.9,35.5,4.6
ulm_000084_000019_gtFine_labelTrainIds.png,40.3,44.9,4.6
hamburg_000000_103367_gtFine_labelTrainIds.png,34.23,38.82,4.59
jena_000055_000019_gtFine_labelTrainIds.png,36.97,41.56,4.59
krefeld_000000_029704_gtFine_labelTrainIds.png,36.74,41.33,4.59
strasbourg_000000_017450_gtFine_labelTrainIds.png,37.66,42.25,4.59
tubingen_000029_000019_gtFine_labelTrainIds.png,37.74,42.32,4.58
zurich_000086_000019_gtFine_labelTrainIds.png,31.33,35.87,4.54
hanover_000000_024719_gtFine_labelTrainIds.png,32.4,36.92,4.52
bremen_000094_000019_gtFine_labelTrainIds.png,31.12,35.61,4.49
hanover_000000_005599_gtFine_labelTrainIds.png,31.3,35.78,4.49
aachen_000055_000019_gtFine_labelTrainIds.png,29.71,34.19,4.48
monchengladbach_000000_004580_gtFine_labelTrainIds.png,38.35,42.83,4.47
strasbourg_000000_012934_gtFine_labelTrainIds.png,23.14,27.6,4.46
hanover_000000_005732_gtFine_labelTrainIds.png,41.94,46.4,4.45
strasbourg_000000_014066_gtFine_labelTrainIds.png,32.07,36.5,4.43
stuttgart_000195_000019_gtFine_labelTrainIds.png,26.23,30.65,4.42
ulm_000005_000019_gtFine_labelTrainIds.png,36.19,40.6,4.41
hanover_000000_025335_gtFine_labelTrainIds.png,35.3,39.7,4.4
stuttgart_000168_000019_gtFine_labelTrainIds.png,33.85,38.25,4.4
zurich_000025_000019_gtFine_labelTrainIds.png,35.61,40,4.39
bremen_000105_000019_gtFine_labelTrainIds.png,32.61,36.99,4.38
dusseldorf_000093_000019_gtFine_labelTrainIds.png,27.93,32.29,4.36
krefeld_000000_003096_gtFine_labelTrainIds.png,30.59,34.94,4.35
zurich_000115_000019_gtFine_labelTrainIds.png,25.66,30.01,4.35
hanover_000000_048379_gtFine_labelTrainIds.png,38.99,43.33,4.34
stuttgart_000082_000019_gtFine_labelTrainIds.png,29.98,34.32,4.34
tubingen_000082_000019_gtFine_labelTrainIds.png,21.15,25.49,4.34
weimar_000120_000019_gtFine_labelTrainIds.png,23.28,27.62,4.33
hanover_000000_048765_gtFine_labelTrainIds.png,36.58,40.89,4.31
monchengladbach_000000_035364_gtFine_labelTrainIds.png,25.92,30.22,4.31
